employee_id,dob,age,surname,name,id_gender,id_marital_status,id_branch,id_leave_reason,id_status,id_department,id_job_title,id_performance
10005,1953-10-28,69,Jackson,Noelia,1,1,1,1,1,1,1,1
10007,1953-04-28,69,Carey,Rodrigo,2,1,2,1,1,1,1,1
10009,1968-02-06,55,Chan,Lucas,2,1,1,1,1,1,1,1
10015,1983-11-10,39,Ferreira,Daiana,1,1,2,1,1,1,1,1
10040,1961-05-01,61,Bernstein,Ruben,2,1,2,1,1,1,1,1
10055,1989-12-30,33,Rossetti,Diego,2,1,3,1,1,1,1,1
10079,1975-01-08,48,Cockel,Juan,2,1,1,1,1,1,1,1
10106,1972-05-20,50,Sutwell,Sonia,1,1,1,1,1,1,1,1
10109,1975-10-22,47,Von Massenbach,Walter,2,1,3,1,1,1,1,1
10111,1969-07-03,53,Beatrice,María,1,1,3,1,1,1,1,1
10118,1987-01-09,36,Perry,Cristina,1,1,3,1,1,1,1,1
10119,1954-04-10,68,Garcia,Emmanuel,2,1,2,1,1,1,1,1
10136,1968-09-19,54,Mahoney,Victor,2,1,2,1,1,1,1,1
10143,1972-02-21,51,Gold,Juan,2,1,1,1,1,1,1,1
10144,1975-01-17,48,Dickinson,Leandro,2,1,1,1,1,1,1,1
10149,1986-07-19,36,Chace,Rita,1,1,2,1,1,1,1,1
10152,1990-11-24,32,Williams,Justo,2,1,2,1,1,1,1,1
10153,1960-10-01,62,Crimmings,Lautaro,2,1,3,1,1,1,1,1
10155,1991-04-05,31,Garneau,Ezequiel,2,1,2,1,1,1,1,1
10163,1962-08-10,60,Nguyen,Roberto,2,1,3,1,1,1,1,1
10167,1976-03-27,46,Pitt,Alejandro,2,1,1,1,1,1,1,1
10173,1981-03-20,41,Barone,Julieta,1,1,3,1,1,1,1,1
10174,1959-03-18,63,Chang,Emanuel,2,1,1,1,1,1,1,1
10207,1953-10-28,69,Jackson,Noelia,1,1,1,1,1,1,1,1
10211,1953-04-28,69,Carey,Rodrigo,2,1,2,1,1,1,1,1
10215,1968-02-06,55,Chan,Lucas,2,1,1,1,1,1,1,1
10221,1983-11-10,39,Ferreira,Daiana,1,1,2,1,1,1,1,1
10224,1961-05-01,61,Bernstein,Ruben,2,1,2,1,1,1,1,1
10225,1989-12-30,33,Rossetti,Diego,2,1,3,1,1,1,1,1
10226,1975-01-08,48,Cockel,Juan,2,1,1,1,1,1,1,1
10247,1972-05-20,50,Sutwell,Sonia,1,1,1,1,1,1,1,1
10274,1975-10-22,47,Von Massenbach,Walter,2,1,3,1,1,1,1,1
10304,1969-07-03,53,Beatrice,María,1,1,3,1,1,1,1,1
10253,1987-01-09,36,Perry,Cristina,1,1,3,1,1,1,1,1
10267,1954-04-10,68,Garcia,Emmanuel,2,1,2,1,1,1,1,1
10268,1968-09-19,54,Mahoney,Victor,2,1,2,1,1,1,1,1
10001,1972-02-21,51,Gold,Juan,2,1,1,1,1,1,1,1
10018,1975-01-17,48,Dickinson,Leandro,2,1,1,1,1,1,1,1
10024,1986-07-19,36,Chace,Rita,1,1,2,1,1,1,1,1
10028,1990-11-24,32,Williams,Justo,2,1,2,1,1,1,1,1
10029,1960-10-01,62,Crimmings,Lautaro,2,1,3,1,1,1,1,1
10030,1991-04-05,31,Garneau,Ezequiel,2,1,2,1,1,1,1,1
